ID,标签,物种,性别,年龄,数量
164,勺鸡雄性成体,勺鸡,雄性,成体,2202
165,勺鸡雄性,勺鸡,雄性,无法区分,36
166,勺鸡雌性亚成体,勺鸡,雌性,亚成体,3
167,勺鸡雌性成体,勺鸡,雌性,成体,1491
168,勺鸡雌性,勺鸡,雌性,无法区分,33
169,北小麝鼩成体,北小麝鼩,无法区分,成体,3
170,北松鼠成体,北松鼠,无法区分,成体,135
171,北树鼩亚成体,北树鼩,无法区分,亚成体,0
172,北树鼩幼体,北树鼩,无法区分,幼体,0
173,北树鼩成体,北树鼩,无法区分,成体,378
174,北树鼩,北树鼩,无法区分,无法区分,177
175,北树鼩雄性亚成体,北树鼩,雄性,亚成体,0
176,北树鼩雄性成体,北树鼩,雄性,成体,0
177,北树鼩雌性亚成体,北树鼩,雌性,亚成体,0
178,北树鼩雌性成体,北树鼩,雌性,成体,0
179,北灰鹟成体,北灰鹟,无法区分,成体,93
180,北社鼠成体,北社鼠,无法区分,成体,705
181,北红尾鸲亚成体,北红尾鸲,无法区分,亚成体,0
182,北红尾鸲幼体,北红尾鸲,无法区分,幼体,0
183,北红尾鸲成体,北红尾鸲,无法区分,成体,54
184,北红尾鸲,北红尾鸲,无法区分,无法区分,0
185,北红尾鸲雄性亚成体,北红尾鸲,雄性,亚成体,0
186,北红尾鸲雄性成体,北红尾鸲,雄性,成体,177
187,北红尾鸲雄性,北红尾鸲,雄性,无法区分,3
188,北红尾鸲雌性亚成体,北红尾鸲,雌性,亚成体,0
189,北红尾鸲雌性成体,北红尾鸲,雌性,成体,90
190,北红尾鸲雌性,北红尾鸲,雌性,无法区分,3
191,北蝗莺成体,北蝗莺,无法区分,成体,3
192,北豚尾猴亚成体,北豚尾猴,无法区分,亚成体,33
193,北豚尾猴幼体,北豚尾猴,无法区分,幼体,9
194,北豚尾猴成体,北豚尾猴,无法区分,成体,369
195,北豚尾猴,北豚尾猴,无法区分,无法区分,0
196,北豚尾猴雄性亚成体,北豚尾猴,雄性,亚成体,21
197,北豚尾猴雄性成体,北豚尾猴,雄性,成体,48
198,北豚尾猴雌性亚成体,北豚尾猴,雌性,亚成体,0
199,北豚尾猴雌性成体,北豚尾猴,雌性,成体,63
200,华南兔亚成体,华南兔,无法区分,亚成体,0
201,华南兔幼体,华南兔,无法区分,幼体,0
202,华南兔成体,华南兔,无法区分,成体,3039
203,华南兔,华南兔,无法区分,无法区分,120
204,华南兔雄性亚成体,华南兔,雄性,亚成体,0
205,华南兔雄性成体,华南兔,雄性,成体,0
206,华南兔雌性亚成体,华南兔,雌性,亚成体,0
207,华南兔雌性成体,华南兔,雌性,成体,18
208,华南斑胸钩嘴鹛成体,华南斑胸钩嘴鹛,无法区分,成体,30
209,华南斑胸钩嘴鹛,华南斑胸钩嘴鹛,无法区分,无法区分,9
210,华南梅花鹿雌性成体,华南梅花鹿,雌性,成体,69
211,印度野牛亚成体,印度野牛,无法区分,亚成体,0
212,印度野牛幼体,印度野牛,无法区分,幼体,0
213,印度野牛成体,印度野牛,无法区分,成体,2934
214,印度野牛,印度野牛,无法区分,无法区分,9
215,印度野牛雄性亚成体,印度野牛,雄性,亚成体,0
216,印度野牛雄性成体,印度野牛,雄性,成体,120
217,印度野牛雄性,印度野牛,雄性,无法区分,9
218,印度野牛雌性亚成体,印度野牛,雌性,亚成体,0
219,印度野牛雌性成体,印度野牛,雌性,成体,21
220,印支灰叶猴成体,印支灰叶猴,无法区分,成体,45
221,原麝亚成体,原麝,无法区分,亚成体,6
222,原麝幼体,原麝,无法区分,幼体,0
223,原麝成体,原麝,无法区分,成体,96
